name,categories,lat,lng,state,s_asia
Rajbhog Cafe,Indian Restaurant,33.94343260545558,-84.12242161771853,Georgia,1
Agha Juice,Indian Restaurant,33.89711371679676,-84.20038661343958,GA,1
Mumbai Masala,Indian Restaurant,33.91426544063921,-84.20758750751835,GA,1
Curry On The Go,Indian Restaurant,33.91435332233754,-84.20750214729587,GA,1
Utsav,Indian Restaurant,34.031755,-84.185948,GA,1
Lajawaab,Indian Restaurant,34.022470452359954,-84.14955511499443,GA,1
Chili China,Indian Restaurant,33.957500584113355,-84.11217315410462,GA,1
Curry Mantra,Indian Restaurant,33.974987,-84.09309,GA,1
tajmahal restaurant,Indian Restaurant,33.884678604705904,-84.19417372522284,Georgia,1
Shahi Grill,Indian Restaurant,33.88818135282145,-84.06218950742434,GA,1
mughals,Indian Restaurant,33.90363693237305,-84.20469665527344,GA,1
Madina Cafe Authentic Indian Cuisine,Indian Restaurant,33.8505043,-84.213681,GA,1
Taj Mahal,Indian Restaurant,33.885899,-84.192398,GA,1
Curry Cuisine Indian Food,Indian Restaurant,33.960464,-84.12516,GA,1
Shalimar Kabab and Grill,Indian Restaurant,33.89592193071135,-84.13796625575435,GA,1
Apna Juice,Indian Restaurant,33.957759036926184,-84.11190506222313,GA,1
Bundu Khan Kabab House,Indian Restaurant,33.90446037236343,-84.19909554794633,GA,1
Tandoori Palace,Indian Restaurant,33.947876,-84.12359,GA,1
Krishna Catering,Indian Restaurant,33.90720953780911,-84.1553821932464,GA,1
Haveli Indian cuisine,Indian Restaurant,33.931197,-84.145442,GA,1
Rajbhog Sweets,Indian Restaurant,33.94347244,-84.12262069,GA,1
Dawat Expess,Indian Restaurant,33.9143392887464,-84.20755848812165,GA,1
Planet Bombay Indian Cuisine Duluth/Johns Creeks,Indian Restaurant,34.017768420348006,-84.19363136441802,GA,1
Tikka cafe,Indian Restaurant,33.88407956582053,-84.19283509254456,GA,1
Venky's India Bhavan,Indian Restaurant,34.01476379795769,-84.18556985950325,GA,1
Bombay Shack,Indian Restaurant,34.02881530006622,-84.04423047951069,GA,1
India Cook,Indian Restaurant,33.93977598,-84.12256121635437,GA,1
Bombay Kitchen,Indian Restaurant,33.85059,-84.21374,GA,1
Jagrala Food Palace. An Indian Cuisine,Indian Restaurant,33.88822833360495,-84.06248877938894,GA,1
Masti Street Eats,Indian Restaurant,34.01817,-84.19147,GA,1
Royal Indian Cuisine,Indian Restaurant,34.01735,-84.155589,GA,1
BAPS Shayona Premvati ATL,Indian Restaurant,33.885477,-84.16474,GA,1
Ustav Indian Cuisine,Indian Restaurant,34.03253657774803,-84.18512374162674,GA,1
Chopstixs,Indian Restaurant,33.95695887711157,-84.11031961441039,GA,1
